x-axis,1,2
second,Volt,Volt
-10.00400E-03,+3.17500001E+00,+684.37505E-03
-9.98400E-03,+3.17500001E+00,+684.37505E-03
-9.96400E-03,+3.12500001E+00,+659.37505E-03
-9.94400E-03,+3.16250001E+00,+678.12505E-03
-9.92400E-03,+3.12500001E+00,+671.87505E-03
-9.90400E-03,+3.06250001E+00,+681.25005E-03
-9.88400E-03,+3.15000001E+00,+696.87505E-03
-9.86400E-03,+3.12500001E+00,+687.50005E-03
-9.84400E-03,+3.11250001E+00,+659.37505E-03
-9.82400E-03,+3.11250001E+00,+665.62505E-03
-9.80400E-03,+762.50001E-03,+668.75005E-03
-9.78400E-03,+75.00001E-03,+693.75005E-03
-9.76400E-03,+100.00001E-03,+687.50005E-03
-9.74400E-03,+162.50001E-03,+659.37505E-03
-9.72400E-03,+175.00001E-03,+653.12505E-03
-9.70400E-03,+125.00001E-03,+653.12505E-03
-9.68400E-03,+112.50001E-03,+628.12505E-03
-9.66400E-03,+162.50001E-03,+621.87505E-03
-9.64400E-03,+125.00001E-03,+621.87505E-03
-9.62400E-03,+162.50001E-03,+596.87505E-03
-9.60400E-03,+125.00001E-03,+565.62505E-03
-9.58400E-03,+162.50001E-03,+559.37505E-03
-9.56400E-03,+125.00001E-03,+546.87505E-03
-9.54400E-03,+162.50001E-03,+531.25005E-03
-9.52400E-03,+75.00001E-03,+465.62505E-03
-9.50400E-03,+150.00001E-03,+475.00005E-03
-9.48400E-03,+125.00001E-03,+418.75005E-03
-9.46400E-03,+162.50001E-03,+390.62505E-03
-9.44400E-03,+125.00001E-03,+375.00005E-03
-9.42400E-03,+112.50001E-03,+321.87505E-03
-9.40400E-03,+162.50001E-03,+296.87505E-03
-9.38400E-03,+175.00001E-03,+256.25005E-03
-9.36400E-03,+175.00001E-03,+221.87505E-03
-9.34400E-03,+175.00001E-03,+190.62505E-03
-9.32400E-03,+175.00001E-03,+159.37505E-03
-9.30400E-03,+125.00001E-03,+140.62505E-03
-9.28400E-03,+162.50001E-03,+112.50005E-03
-9.26400E-03,+125.00001E-03,+68.75005E-03
-9.24400E-03,+212.50001E-03,+46.87505E-03
-9.22400E-03,+137.50001E-03,+18.75005E-03
-9.20400E-03,+112.50001E-03,-24.99995E-03
-9.18400E-03,+112.50001E-03,-46.87495E-03
-9.16400E-03,+112.50001E-03,-87.49995E-03
-9.14400E-03,+112.50001E-03,-121.87495E-03
-9.12400E-03,+112.50001E-03,-128.12495E-03
-9.10400E-03,+112.50001E-03,-140.62495E-03
